00001 | aes128 | Hashcod Variant 00001 - AES-128 Key | Symmetric Keys | 128 | 16 bytes → Base64 | 128 bits | FIPS 197
04703 | hc10000_code_02985 | Hashcod Variant 04703 - HC-ZK-Orion-Vertex-02985-L1-v7.5 | Hashcod Advanced Codes 8282 | H02985 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
04704 | hc10000_code_02986 | Hashcod Variant 04704 - HC-MPC-Nimbus-Chronos-02986-256-bit-v8.8 | Hashcod Advanced Codes 8282 | H02986 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
04705 | hc10000_code_02987 | Hashcod Variant 04705 - HC-FHE-Aether-Delta-02987-L3-v9.1 | Hashcod Advanced Codes 8282 | H02987 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
04706 | hc10000_code_02988 | Hashcod Variant 04706 - HC-THRESH-Argon-Monolith-02988-L5-v1.4 | Hashcod Advanced Codes 8282 | H02988 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
04707 | hc10000_code_02989 | Hashcod Variant 04707 - HC-VDF-Meridian-Zenith-02989-128-bit-v2.7 | Hashcod Advanced Codes 8282 | H02989 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
04708 | hc10000_code_02990 | Hashcod Variant 04708 - HC-VRF-Omega-Lattice-02990-256-bit-v3.0 | Hashcod Advanced Codes 8282 | H02990 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
04709 | hc10000_code_02991 | Hashcod Variant 04709 - HC-AEAD-LW-Vortex-Titan-02991-256-bit-v4.3 | Hashcod Advanced Codes 8282 | H02991 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
04710 | hc10000_code_02992 | Hashcod Variant 04710 - HC-XOF-Krypton-Matrix-02992-L3-v5.6 | Hashcod Advanced Codes 8282 | H02992 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
04711 | hc10000_code_02993 | Hashcod Variant 04711 - HC-KDF-Radial-Prism-02993-L5-v6.9 | Hashcod Advanced Codes 8282 | H02993 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
04712 | hc10000_code_02994 | Hashcod Variant 04712 - HC-MAC-Nexus-Cobalt-02994-192-bit-v7.2 | Hashcod Advanced Codes 8282 | H02994 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
04713 | hc10000_code_02995 | Hashcod Variant 04713 - HC-PAKE-Vega-Solstice-02995-L1-v8.5 | Hashcod Advanced Codes 8282 | H02995 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
04714 | hc10000_code_02996 | Hashcod Variant 04714 - HC-ACCUM-Neon-Parallax-02996-256-bit-v9.8 | Hashcod Advanced Codes 8282 | H02996 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
04715 | hc10000_code_02997 | Hashcod Variant 04715 - HC-IBE-Axiom-Vector-02997-L3-v1.1 | Hashcod Advanced Codes 8282 | H02997 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
04716 | hc10000_code_02998 | Hashcod Variant 04716 - HC-ABE-Nova-Spectra-02998-L5-v2.4 | Hashcod Advanced Codes 8282 | H02998 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
04717 | hc10000_code_02999 | Hashcod Variant 04717 - HC-RING-Zephyr-Aurora-02999-128-bit-v3.7 | Hashcod Advanced Codes 8282 | H02999 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
04718 | hc10000_code_03000 | Hashcod Variant 04718 - HC-BLIND-Pulse-Kairo-03000-256-bit-v4.0 | Hashcod Advanced Codes 8282 | H03000 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
04719 | hc10000_code_03001 | Hashcod Variant 04719 - HC-PQC-KEM-Cipher-Quanta-03001-256-bit-v5.3 | Hashcod Advanced Codes 8282 | H03001 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
04720 | hc10000_code_03002 | Hashcod Variant 04720 - HC-PQC-SIG-Atlas-Sigma-03002-L3-v6.6 | Hashcod Advanced Codes 8282 | H03002 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
04721 | hc10000_code_03003 | Hashcod Variant 04721 - HC-HASH-SIG-Obsidian-Eclipse-03003-L5-v7.9 | Hashcod Advanced Codes 8282 | H03003 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
04722 | hc10000_code_03004 | Hashcod Variant 04722 - HC-HPKE-Helix-Falcon-03004-192-bit-v8.2 | Hashcod Advanced Codes 8282 | H03004 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
04723 | hc10000_code_03005 | Hashcod Variant 04723 - HC-ZK-Orion-Vertex-03005-L1-v9.5 | Hashcod Advanced Codes 8282 | H03005 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
04724 | hc10000_code_03006 | Hashcod Variant 04724 - HC-MPC-Nimbus-Chronos-03006-256-bit-v1.8 | Hashcod Advanced Codes 8282 | H03006 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
04725 | hc10000_code_03007 | Hashcod Variant 04725 - HC-FHE-Aether-Delta-03007-L3-v2.1 | Hashcod Advanced Codes 8282 | H03007 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
04726 | hc10000_code_03008 | Hashcod Variant 04726 - HC-THRESH-Argon-Monolith-03008-L5-v3.4 | Hashcod Advanced Codes 8282 | H03008 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
04727 | hc10000_code_03009 | Hashcod Variant 04727 - HC-VDF-Meridian-Zenith-03009-128-bit-v4.7 | Hashcod Advanced Codes 8282 | H03009 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
04728 | hc10000_code_03010 | Hashcod Variant 04728 - HC-VRF-Omega-Lattice-03010-256-bit-v5.0 | Hashcod Advanced Codes 8282 | H03010 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
04729 | hc10000_code_03011 | Hashcod Variant 04729 - HC-AEAD-LW-Vortex-Titan-03011-256-bit-v6.3 | Hashcod Advanced Codes 8282 | H03011 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
04730 | hc10000_code_03012 | Hashcod Variant 04730 - HC-XOF-Krypton-Matrix-03012-L3-v7.6 | Hashcod Advanced Codes 8282 | H03012 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
04731 | hc10000_code_03013 | Hashcod Variant 04731 - HC-KDF-Radial-Prism-03013-L5-v8.9 | Hashcod Advanced Codes 8282 | H03013 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
04732 | hc10000_code_03014 | Hashcod Variant 04732 - HC-MAC-Nexus-Cobalt-03014-192-bit-v9.2 | Hashcod Advanced Codes 8282 | H03014 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
04733 | hc10000_code_03015 | Hashcod Variant 04733 - HC-PAKE-Vega-Solstice-03015-L1-v1.5 | Hashcod Advanced Codes 8282 | H03015 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
04734 | hc10000_code_03016 | Hashcod Variant 04734 - HC-ACCUM-Neon-Parallax-03016-256-bit-v2.8 | Hashcod Advanced Codes 8282 | H03016 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
04735 | hc10000_code_03017 | Hashcod Variant 04735 - HC-IBE-Axiom-Vector-03017-L3-v3.1 | Hashcod Advanced Codes 8282 | H03017 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
04736 | hc10000_code_03018 | Hashcod Variant 04736 - HC-ABE-Nova-Spectra-03018-L5-v4.4 | Hashcod Advanced Codes 8282 | H03018 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
04737 | hc10000_code_03019 | Hashcod Variant 04737 - HC-RING-Zephyr-Aurora-03019-128-bit-v5.7 | Hashcod Advanced Codes 8282 | H03019 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
04738 | hc10000_code_03020 | Hashcod Variant 04738 - HC-BLIND-Pulse-Kairo-03020-256-bit-v6.0 | Hashcod Advanced Codes 8282 | H03020 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
04739 | hc10000_code_03021 | Hashcod Variant 04739 - HC-PQC-KEM-Cipher-Quanta-03021-256-bit-v7.3 | Hashcod Advanced Codes 8282 | H03021 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
04740 | hc10000_code_03022 | Hashcod Variant 04740 - HC-PQC-SIG-Atlas-Sigma-03022-L3-v8.6 | Hashcod Advanced Codes 8282 | H03022 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
04741 | hc10000_code_03023 | Hashcod Variant 04741 - HC-HASH-SIG-Obsidian-Eclipse-03023-L5-v9.9 | Hashcod Advanced Codes 8282 | H03023 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
04742 | hc10000_code_03024 | Hashcod Variant 04742 - HC-HPKE-Helix-Falcon-03024-192-bit-v1.2 | Hashcod Advanced Codes 8282 | H03024 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
04743 | hc10000_code_03025 | Hashcod Variant 04743 - HC-ZK-Orion-Vertex-03025-L1-v2.5 | Hashcod Advanced Codes 8282 | H03025 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
04744 | hc10000_code_03026 | Hashcod Variant 04744 - HC-MPC-Nimbus-Chronos-03026-256-bit-v3.8 | Hashcod Advanced Codes 8282 | H03026 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
04745 | hc10000_code_03027 | Hashcod Variant 04745 - HC-FHE-Aether-Delta-03027-L3-v4.1 | Hashcod Advanced Codes 8282 | H03027 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
04746 | hc10000_code_03028 | Hashcod Variant 04746 - HC-THRESH-Argon-Monolith-03028-L5-v5.4 | Hashcod Advanced Codes 8282 | H03028 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
04747 | hc10000_code_03029 | Hashcod Variant 04747 - HC-VDF-Meridian-Zenith-03029-128-bit-v6.7 | Hashcod Advanced Codes 8282 | H03029 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
04748 | hc10000_code_03030 | Hashcod Variant 04748 - HC-VRF-Omega-Lattice-03030-256-bit-v7.0 | Hashcod Advanced Codes 8282 | H03030 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
04749 | hc10000_code_03031 | Hashcod Variant 04749 - HC-AEAD-LW-Vortex-Titan-03031-256-bit-v8.3 | Hashcod Advanced Codes 8282 | H03031 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
04750 | hc10000_code_03032 | Hashcod Variant 04750 - HC-XOF-Krypton-Matrix-03032-L3-v9.6 | Hashcod Advanced Codes 8282 | H03032 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
04751 | hc10000_code_03033 | Hashcod Variant 04751 - HC-KDF-Radial-Prism-03033-L5-v1.9 | Hashcod Advanced Codes 8282 | H03033 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
04752 | hc10000_code_03034 | Hashcod Variant 04752 - HC-MAC-Nexus-Cobalt-03034-192-bit-v2.2 | Hashcod Advanced Codes 8282 | H03034 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
04753 | hc10000_code_03035 | Hashcod Variant 04753 - HC-PAKE-Vega-Solstice-03035-L1-v3.5 | Hashcod Advanced Codes 8282 | H03035 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
04754 | hc10000_code_03036 | Hashcod Variant 04754 - HC-ACCUM-Neon-Parallax-03036-256-bit-v4.8 | Hashcod Advanced Codes 8282 | H03036 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
04755 | hc10000_code_03037 | Hashcod Variant 04755 - HC-IBE-Axiom-Vector-03037-L3-v5.1 | Hashcod Advanced Codes 8282 | H03037 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
04756 | hc10000_code_03038 | Hashcod Variant 04756 - HC-ABE-Nova-Spectra-03038-L5-v6.4 | Hashcod Advanced Codes 8282 | H03038 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
04757 | hc10000_code_03039 | Hashcod Variant 04757 - HC-RING-Zephyr-Aurora-03039-128-bit-v7.7 | Hashcod Advanced Codes 8282 | H03039 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
04758 | hc10000_code_03040 | Hashcod Variant 04758 - HC-BLIND-Pulse-Kairo-03040-256-bit-v8.0 | Hashcod Advanced Codes 8282 | H03040 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
04759 | hc10000_code_03041 | Hashcod Variant 04759 - HC-PQC-KEM-Cipher-Quanta-03041-256-bit-v9.3 | Hashcod Advanced Codes 8282 | H03041 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
04760 | hc10000_code_03042 | Hashcod Variant 04760 - HC-PQC-SIG-Atlas-Sigma-03042-L3-v1.6 | Hashcod Advanced Codes 8282 | H03042 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
04761 | hc10000_code_03043 | Hashcod Variant 04761 - HC-HASH-SIG-Obsidian-Eclipse-03043-L5-v2.9 | Hashcod Advanced Codes 8282 | H03043 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
04762 | hc10000_code_03044 | Hashcod Variant 04762 - HC-HPKE-Helix-Falcon-03044-192-bit-v3.2 | Hashcod Advanced Codes 8282 | H03044 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
04763 | hc10000_code_03045 | Hashcod Variant 04763 - HC-ZK-Orion-Vertex-03045-L1-v4.5 | Hashcod Advanced Codes 8282 | H03045 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
04764 | hc10000_code_03046 | Hashcod Variant 04764 - HC-MPC-Nimbus-Chronos-03046-256-bit-v5.8 | Hashcod Advanced Codes 8282 | H03046 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
04765 | hc10000_code_03047 | Hashcod Variant 04765 - HC-FHE-Aether-Delta-03047-L3-v6.1 | Hashcod Advanced Codes 8282 | H03047 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
04766 | hc10000_code_03048 | Hashcod Variant 04766 - HC-THRESH-Argon-Monolith-03048-L5-v7.4 | Hashcod Advanced Codes 8282 | H03048 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
04767 | hc10000_code_03049 | Hashcod Variant 04767 - HC-VDF-Meridian-Zenith-03049-128-bit-v8.7 | Hashcod Advanced Codes 8282 | H03049 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
04768 | hc10000_code_03050 | Hashcod Variant 04768 - HC-VRF-Omega-Lattice-03050-256-bit-v9.0 | Hashcod Advanced Codes 8282 | H03050 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
04769 | hc10000_code_03051 | Hashcod Variant 04769 - HC-AEAD-LW-Vortex-Titan-03051-256-bit-v1.3 | Hashcod Advanced Codes 8282 | H03051 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
04770 | hc10000_code_03052 | Hashcod Variant 04770 - HC-XOF-Krypton-Matrix-03052-L3-v2.6 | Hashcod Advanced Codes 8282 | H03052 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
04771 | hc10000_code_03053 | Hashcod Variant 04771 - HC-KDF-Radial-Prism-03053-L5-v3.9 | Hashcod Advanced Codes 8282 | H03053 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
04772 | hc10000_code_03054 | Hashcod Variant 04772 - HC-MAC-Nexus-Cobalt-03054-192-bit-v4.2 | Hashcod Advanced Codes 8282 | H03054 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
04773 | hc10000_code_03055 | Hashcod Variant 04773 - HC-PAKE-Vega-Solstice-03055-L1-v5.5 | Hashcod Advanced Codes 8282 | H03055 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
04774 | hc10000_code_03056 | Hashcod Variant 04774 - HC-ACCUM-Neon-Parallax-03056-256-bit-v6.8 | Hashcod Advanced Codes 8282 | H03056 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
04775 | hc10000_code_03057 | Hashcod Variant 04775 - HC-IBE-Axiom-Vector-03057-L3-v7.1 | Hashcod Advanced Codes 8282 | H03057 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
04776 | hc10000_code_03058 | Hashcod Variant 04776 - HC-ABE-Nova-Spectra-03058-L5-v8.4 | Hashcod Advanced Codes 8282 | H03058 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
04777 | hc10000_code_03059 | Hashcod Variant 04777 - HC-RING-Zephyr-Aurora-03059-128-bit-v9.7 | Hashcod Advanced Codes 8282 | H03059 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
04778 | hc10000_code_03060 | Hashcod Variant 04778 - HC-BLIND-Pulse-Kairo-03060-256-bit-v1.0 | Hashcod Advanced Codes 8282 | H03060 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
04779 | hc10000_code_03061 | Hashcod Variant 04779 - HC-PQC-KEM-Cipher-Quanta-03061-256-bit-v2.3 | Hashcod Advanced Codes 8282 | H03061 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
04780 | hc10000_code_03062 | Hashcod Variant 04780 - HC-PQC-SIG-Atlas-Sigma-03062-L3-v3.6 | Hashcod Advanced Codes 8282 | H03062 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
04781 | hc10000_code_03063 | Hashcod Variant 04781 - HC-HASH-SIG-Obsidian-Eclipse-03063-L5-v4.9 | Hashcod Advanced Codes 8282 | H03063 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
04782 | hc10000_code_03064 | Hashcod Variant 04782 - HC-HPKE-Helix-Falcon-03064-192-bit-v5.2 | Hashcod Advanced Codes 8282 | H03064 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
04783 | hc10000_code_03065 | Hashcod Variant 04783 - HC-ZK-Orion-Vertex-03065-L1-v6.5 | Hashcod Advanced Codes 8282 | H03065 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
04784 | hc10000_code_03066 | Hashcod Variant 04784 - HC-MPC-Nimbus-Chronos-03066-256-bit-v7.8 | Hashcod Advanced Codes 8282 | H03066 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
04785 | hc10000_code_03067 | Hashcod Variant 04785 - HC-FHE-Aether-Delta-03067-L3-v8.1 | Hashcod Advanced Codes 8282 | H03067 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
04786 | hc10000_code_03068 | Hashcod Variant 04786 - HC-THRESH-Argon-Monolith-03068-L5-v9.4 | Hashcod Advanced Codes 8282 | H03068 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
04787 | hc10000_code_03069 | Hashcod Variant 04787 - HC-VDF-Meridian-Zenith-03069-128-bit-v1.7 | Hashcod Advanced Codes 8282 | H03069 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
04788 | hc10000_code_03070 | Hashcod Variant 04788 - HC-VRF-Omega-Lattice-03070-256-bit-v2.0 | Hashcod Advanced Codes 8282 | H03070 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
04789 | hc10000_code_03071 | Hashcod Variant 04789 - HC-AEAD-LW-Vortex-Titan-03071-256-bit-v3.3 | Hashcod Advanced Codes 8282 | H03071 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
04790 | hc10000_code_03072 | Hashcod Variant 04790 - HC-XOF-Krypton-Matrix-03072-L3-v4.6 | Hashcod Advanced Codes 8282 | H03072 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
04791 | hc10000_code_03073 | Hashcod Variant 04791 - HC-KDF-Radial-Prism-03073-L5-v5.9 | Hashcod Advanced Codes 8282 | H03073 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
04792 | hc10000_code_03074 | Hashcod Variant 04792 - HC-MAC-Nexus-Cobalt-03074-192-bit-v6.2 | Hashcod Advanced Codes 8282 | H03074 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
04793 | hc10000_code_03075 | Hashcod Variant 04793 - HC-PAKE-Vega-Solstice-03075-L1-v7.5 | Hashcod Advanced Codes 8282 | H03075 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
04794 | hc10000_code_03076 | Hashcod Variant 04794 - HC-ACCUM-Neon-Parallax-03076-256-bit-v8.8 | Hashcod Advanced Codes 8282 | H03076 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
04795 | hc10000_code_03077 | Hashcod Variant 04795 - HC-IBE-Axiom-Vector-03077-L3-v9.1 | Hashcod Advanced Codes 8282 | H03077 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
04796 | hc10000_code_03078 | Hashcod Variant 04796 - HC-ABE-Nova-Spectra-03078-L5-v1.4 | Hashcod Advanced Codes 8282 | H03078 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
04797 | hc10000_code_03079 | Hashcod Variant 04797 - HC-RING-Zephyr-Aurora-03079-128-bit-v2.7 | Hashcod Advanced Codes 8282 | H03079 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
04798 | hc10000_code_03080 | Hashcod Variant 04798 - HC-BLIND-Pulse-Kairo-03080-256-bit-v3.0 | Hashcod Advanced Codes 8282 | H03080 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
04799 | hc10000_code_03081 | Hashcod Variant 04799 - HC-PQC-KEM-Cipher-Quanta-03081-256-bit-v4.3 | Hashcod Advanced Codes 8282 | H03081 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
04800 | hc10000_code_03082 | Hashcod Variant 04800 - HC-PQC-SIG-Atlas-Sigma-03082-L3-v5.6 | Hashcod Advanced Codes 8282 | H03082 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
04801 | hc10000_code_03083 | Hashcod Variant 04801 - HC-HASH-SIG-Obsidian-Eclipse-03083-L5-v6.9 | Hashcod Advanced Codes 8282 | H03083 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
04802 | hc10000_code_03084 | Hashcod Variant 04802 - HC-HPKE-Helix-Falcon-03084-192-bit-v7.2 | Hashcod Advanced Codes 8282 | H03084 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
04803 | hc10000_code_03085 | Hashcod Variant 04803 - HC-ZK-Orion-Vertex-03085-L1-v8.5 | Hashcod Advanced Codes 8282 | H03085 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
